ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;ipva_pago;licenciado;garantia_de_fabrica;nao_identificado;link;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;blindado;alienado
2019/2019;48.404;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36753257?pos=q36753257m:&np=2;Sim;Sim;;
2020/2021;8.000;Automática;Hatchback;Gasolina e álcool;3;Vermelho;Sim;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2020-2021/36762358?pos=r36762358g:&np=2;;Sim;;
2017/2017;22.000;Automática;Hatchback;Gasolina e álcool;8;Prata;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2017/36807354?pos=s36807354c:&np=2;;;;
2015/2015;77.264;Manual;Hatchback;Gasolina e álcool;3;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/36861420?pos=t36861420m:&np=2;;;;
2015/2015;77.264;Manual;Hatchback;Gasolina e álcool;3;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/36861420?pos=t36861420m:&np=2;;;;
2013/2013;143.000;Manual;Hatchback;Gasolina e álcool;3;Prata;;;;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2013/31168020?pos=v31168020c:&np=2;;Sim;;
2019/2020;58.533;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36870060?pos=w36870060g:&np=2;;Sim;;
2019/2019;45.317;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36888703?pos=x36888703g:&np=2;Sim;Sim;;
2019/2019;16.500;Manual;Hatchback;Gasolina e álcool;3;Preto;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36891416?pos=a36891416c:&np=3;Sim;Sim;;
2018/2018;24.000;Automática;Hatchback;Gasolina e álcool;3;Marrom;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2018/36902957?pos=b36902957c:&np=3;;Sim;;
2018/2018;24.000;Automática;Hatchback;Gasolina e álcool;3;Marrom;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2018/36902957?pos=b36902957c:&np=3;;Sim;;
2018/2018;24.000;Automática;Hatchback;Gasolina e álcool;3;Marrom;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2018/36902957?pos=b36902957c:&np=3;;Sim;;
2019/2019;49.373;Manual;Hatchback;Gasolina e álcool;2;Dourado;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36995077?pos=e36995077g:&np=3;Sim;Sim;;
2019/2019;45.018;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37001989?pos=f37001989g:&np=3;;Sim;;
2019/2019;45.791;Manual;Hatchback;Gasolina e álcool;0;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37002087?pos=g37002087g:&np=3;;Sim;;
2016/2017;10.000;Automática;Hatchback;Gasolina e álcool;2;Marrom;;Sim;Sim;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2016-2017/35515539?pos=h35515539c:&np=3;Sim;Sim;;
2019/2019;17.578;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2019/37034009?pos=i37034009g:&np=3;;;;
2019/2019;69.998;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2019/37054300?pos=j37054300g:&np=3;;Sim;;
2019/2019;69.998;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2019/37054300?pos=j37054300g:&np=3;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Preto;Sim;Sim;;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/37094893?pos=l37094893g:&np=3;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Preto;Sim;Sim;;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37095148?pos=m37095148g:&np=3;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Branco;Sim;Sim;;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37095277?pos=n37095277g:&np=3;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Cinza;Sim;Sim;;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/37095515?pos=o37095515g:&np=3;;Sim;;
