ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;link;ipva_pago;alienado;licenciado;nao_identificado;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;garantia_de_fabrica
2018/2019;9.699;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37593682?pos=m37593682g:&np=3;;;;;;;
2016/2016;43.648;Manual;Hatchback;Gasolina e álcool;2;Azul;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/3-portas/2016/37597084?pos=n37597084g:&np=3;;;;;;;
2020/2021;9.528;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2020-2021/37612450?pos=o37612450g:&np=3;Sim;;Sim;;;Sim;Sim
2017/2017;40.143;Automática;Hatchback;Gasolina e álcool;3;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2017/37665133?pos=p37665133g:&np=3;Sim;;Sim;;;;
2015/2015;99.533;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37616604?pos=q37616604g:&np=3;Sim;;Sim;;;;
2020/2021;4.600;Manual;Hatchback;Gasolina e álcool;9;Preto;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020-2021/37626248?pos=r37626248g:&np=3;Sim;;Sim;;;Sim;Sim
2015/2016;95.000;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2015-2016/37629918?pos=s37629918g:&np=3;Sim;;Sim;;;;
2020/2021;4.800;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020-2021/37639234?pos=t37639234g:&np=3;Sim;;;;;Sim;Sim
2019/2019;18.081;Manual;Hatchback;Gasolina e álcool;6;Cinza;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37674533?pos=u37674533g:&np=3;;;;;;;
2013/2013;88.000;Manual;Hatchback;Gasolina;4;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/3-portas/2013/37645298?pos=v37645298g:&np=3;Sim;;Sim;;;Sim;
2015/2016;65.678;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-style-12v-flex-4p-manual/3-portas/2015-2016/37652410?pos=w37652410g:&np=3;Sim;;Sim;;;;
2017/2017;78.512;Manual;Hatchback;Gasolina e álcool;3;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37652971?pos=x37652971m:&np=3;;;;;;;
2013/2014;108.500;Manual;Hatchback;Gasolina;6;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2013-2014/37659351?pos=a37659351a:&np=4;;;;;;;
