link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2018-2019/36344020?pos=x36344020g:&np=14;54,9;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2018/2019;37479 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36506013?pos=a36506013m:&np=15;48,99;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;52000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2014/36576567?pos=b36576567g:&np=15;39,99;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2014/2014;94180 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2016/36329974?pos=c36329974g:&np=15;45,9;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2016/2016;71626 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/36333407?pos=d36333407g:&np=15;59,9;1;1.0 12V FLEX SENSE MANUAL;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2012-2013/36571411?pos=e36571411g:&np=15;37,5;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2012/2013;77000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2017-2018/28144899?pos=f28144899a:&np=15;62,0;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2017/2018;63000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36039063?pos=g36039063g:&np=15;59,9;1;1.0 12V FLEX SENSE MANUAL;2019/2020;18339 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36533739?pos=h36533739g:&np=15;51,9;1;1.0 12V FLEX SENSE MANUAL;2019/2020;49000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/35858441?pos=i35858441g:&np=15;59,9;1;1.0 12V FLEX SENSE MANUAL;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/36475681?pos=j36475681m:&np=15;41,7;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2015;80169 km
